instance,instance_id,n,p,best_known_cost,best_cost,gap_percent,memory_size,frequency_memory_size,top_cost_cutoff,cooccurrence_edges,cooccurrence_total_weight,k_core_max_level,k_core_size,k_core_top_frequency_intersection,k_core_top_frequency_fraction,k_core_top_frequency_iou,k_core_nodes_1based,k_core_top_frequency_nodes_1based,k_core_intersection_nodes_1based,densest_subgraph_size,densest_subgraph_density,densest_top_frequency_intersection,densest_top_frequency_fraction,densest_top_frequency_iou,densest_subgraph_nodes_1based,densest_top_frequency_nodes_1based,densest_intersection_nodes_1based,k_core_densest_subgraph_iou,runtime_seconds,status,error_message,facilities_nonzero_frequency
pmed11.txt,pmed11,300,5,7696.0,7696.0,0.0,93,10,7717.0,34,100.0,6,8,8,1.0,1.0,24 31 68 79 98 167 183 201,24 31 68 79 98 167 183 201,24 31 68 79 98 167 183 201,8,11.0,8,1.0,1.0,24 31 68 79 98 167 183 201,24 31 68 79 98 167 183 201,24 31 68 79 98 167 183 201,1.0,0.22409197199976916,ok,,10
pmed12.txt,pmed12,300,10,6634.0,6634.0,0.0,46,5,6640.0,81,225.0,9,14,14,1.0,1.0,3 6 44 84 139 140 168 169 172 174 ... (+4),3 6 44 84 139 140 168 169 172 174 ... (+4),3 6 44 84 139 140 168 169 172 174 ... (+4),10,18.9,10,1.0,1.0,3 6 44 84 139 169 172 174 217 294,3 6 44 84 139 169 172 174 217 294,3 6 44 84 139 169 172 174 217 294,0.7142857142857143,0.3470396479997362,ok,,14
pmed13.txt,pmed13,300,30,4374.0,4374.0,0.0,38,4,4374.0,494,1740.0,30,32,32,1.0,1.0,2 6 13 17 27 30 40 41 49 55 ... (+22),2 6 13 17 27 30 40 41 49 55 ... (+22),2 6 13 17 27 30 40 41 49 55 ... (+22),32,54.375,32,1.0,1.0,2 6 13 17 27 30 40 41 49 55 ... (+22),2 6 13 17 27 30 40 41 49 55 ... (+22),2 6 13 17 27 30 40 41 49 55 ... (+22),1.0,0.8897737639999832,ok,,32
pmed14.txt,pmed14,300,60,2968.0,2968.0,0.0,109,11,2969.0,2541,19470.0,60,72,72,1.0,1.0,1 7 13 14 15 18 22 23 24 36 ... (+62),1 7 13 14 15 18 22 23 24 36 ... (+62),1 7 13 14 15 18 22 23 24 36 ... (+62),59,285.3728813559322,59,1.0,1.0,13 14 15 18 22 24 36 49 50 60 ... (+49),13 14 15 18 22 24 36 49 50 60 ... (+49),13 14 15 18 22 24 36 49 50 60 ... (+49),0.8194444444444444,2.2178464839998924,ok,,73
pmed15.txt,pmed15,300,100,1729.0,1730.0,0.0578368999421631,234,24,1732.0,8639,118800.0,103,113,112,0.9911504424778761,0.9824561403508771,1 4 5 8 10 11 13 15 17 18 ... (+103),1 4 5 8 10 11 13 15 17 18 ... (+103),1 4 5 8 10 11 13 15 17 18 ... (+102),101,1033.6237623762377,101,1.0,1.0,1 4 5 8 10 11 13 15 17 18 ... (+91),1 4 5 8 10 11 13 15 17 18 ... (+91),1 4 5 8 10 11 13 15 17 18 ... (+91),0.8938053097345132,3.6319181620001473,ok,,137
pmed16.txt,pmed16,400,5,8162.0,8162.0,0.0,136,14,8177.0,44,140.0,7,9,9,1.0,1.0,20 25 30 195 229 267 360 374 379,20 25 30 195 229 267 360 374 379,20 25 30 195 229 267 360 374 379,9,14.222222222222221,9,1.0,1.0,20 25 30 195 229 267 360 374 379,20 25 30 195 229 267 360 374 379,20 25 30 195 229 267 360 374 379,1.0,0.6350341550005396,ok,,12
pmed17.txt,pmed17,400,10,6999.0,6999.0,0.0,94,10,7010.0,120,450.0,10,14,14,1.0,1.0,36 72 92 116 120 141 171 173 213 222 ... (+4),36 72 92 116 120 141 171 173 213 222 ... (+4),36 72 92 116 120 141 171 173 213 222 ... (+4),13,30.46153846153846,13,1.0,1.0,36 72 92 116 120 141 171 173 213 331 ... (+3),36 72 92 116 120 141 171 173 213 331 ... (+3),36 72 92 116 120 141 171 173 213 331 ... (+3),0.9285714285714286,1.2334895710000637,ok,,18
pmed18.txt,pmed18,400,40,4809.0,4811.0,0.041588687876897484,91,10,4811.0,1020,7800.0,41,44,43,0.9772727272727273,0.9555555555555556,2 4 26 27 33 42 49 50 53 58 ... (+34),2 4 26 27 33 42 49 50 52 53 ... (+34),2 4 26 27 33 42 49 50 53 58 ... (+33),42,175.57142857142858,42,1.0,1.0,4 26 27 33 42 49 50 53 58 63 ... (+32),4 26 27 33 42 49 50 53 58 63 ... (+32),4 26 27 33 42 49 50 53 58 63 ... (+32),0.9545454545454546,3.109970667000198,ok,,46
pmed19.txt,pmed19,400,80,2845.0,2846.0,0.0351493848857645,170,17,2847.0,4502,53720.0,79,97,97,1.0,1.0,5 11 13 14 17 22 27 28 29 32 ... (+87),5 11 13 14 17 22 27 28 29 32 ... (+87),5 11 13 14 17 22 27 28 29 32 ... (+87),82,599.8658536585366,82,1.0,1.0,5 11 13 14 17 27 28 29 40 42 ... (+72),5 11 13 14 17 27 28 29 40 42 ... (+72),5 11 13 14 17 27 28 29 40 42 ... (+72),0.845360824742268,6.43396798699996,ok,,97
pmed20.txt,pmed20,400,133,1789.0,1789.0,0.0,316,32,1792.0,13618,280896.0,138,150,140,0.9333333333333333,0.875,5 8 14 16 19 26 28 34 35 37 ... (+140),5 8 9 14 15 16 19 26 28 34 ... (+140),5 8 14 16 19 26 28 34 35 37 ... (+130),136,1862.2573529411766,136,1.0,1.0,5 8 15 16 19 26 28 34 35 37 ... (+126),5 8 15 16 19 26 28 34 35 37 ... (+126),5 8 15 16 19 26 28 34 35 37 ... (+126),0.8333333333333334,11.745591697999771,ok,,169
pmed21.txt,pmed21,500,5,9138.0,9138.0,0.0,194,20,9230.0,71,200.0,6,9,9,1.0,1.0,71 105 138 161 186 284 285 475 494,71 105 138 161 186 284 285 475 494,71 105 138 161 186 284 285 475 494,5,21.8,5,1.0,1.0,71 138 161 285 494,71 138 161 285 494,71 138 161 285 494,0.5555555555555556,1.2741301850001037,ok,,19
pmed22.txt,pmed22,500,10,8579.0,8579.0,0.0,77,8,8588.0,84,360.0,11,13,13,1.0,1.0,31 109 149 268 279 299 378 414 419 469 ... (+3),31 109 149 268 279 299 378 414 419 469 ... (+3),31 109 149 268 279 299 378 414 419 469 ... (+3),11,27.09090909090909,11,1.0,1.0,31 109 149 268 299 378 414 419 469 490 ... (+1),31 109 149 268 299 378 414 419 469 490 ... (+1),31 109 149 268 299 378 414 419 469 490 ... (+1),0.8461538461538461,3.235651107999729,ok,,14
pmed23.txt,pmed23,500,50,4619.0,4619.0,0.0,40,4,4619.0,1372,4900.0,49,53,53,1.0,1.0,21 23 34 42 47 49 53 54 56 72 ... (+43),21 23 34 42 47 49 53 54 56 72 ... (+43),21 23 34 42 47 49 53 54 56 72 ... (+43),50,95.06,50,1.0,1.0,21 23 34 42 47 49 53 54 56 72 ... (+40),21 23 34 42 47 49 53 54 56 72 ... (+40),21 23 34 42 47 49 53 54 56 72 ... (+40),0.9433962264150944,7.773610093999196,ok,,53
pmed24.txt,pmed24,500,100,2961.0,2961.0,0.0,240,24,2962.0,7762,118800.0,103,112,110,0.9821428571428571,0.9649122807017544,11 13 17 24 31 41 42 46 47 52 ... (+102),11 13 17 24 31 32 41 42 45 46 ... (+102),11 13 17 24 31 41 42 46 47 52 ... (+100),99,1061.4141414141413,99,1.0,1.0,11 13 17 24 31 42 47 52 54 61 ... (+89),11 13 17 24 31 42 47 52 54 61 ... (+89),11 13 17 24 31 42 47 52 54 61 ... (+89),0.8839285714285714,18.779537107999204,ok,,128
pmed25.txt,pmed25,500,167,1828.0,1828.0,0.0,400,40,1833.0,25186,554440.0,177,188,179,0.9521276595744681,0.9086294416243654,8 11 12 19 20 21 25 27 31 33 ... (+178),2 8 12 14 19 20 21 25 27 31 ... (+178),8 12 19 20 21 25 27 31 33 39 ... (+169),172,2753.4011627906975,172,1.0,1.0,8 12 19 20 21 25 27 31 33 39 ... (+162),8 12 19 20 21 25 27 31 33 39 ... (+162),8 12 19 20 21 25 27 31 33 39 ... (+162),0.9148936170212766,34.22847239800012,ok,,234
pmed26.txt,pmed26,600,5,9917.0,9917.0,0.0,204,21,9954.0,56,210.0,7,12,12,1.0,1.0,11 88 131 161 297 302 325 400 490 544 ... (+2),11 88 131 161 297 302 325 400 490 544 ... (+2),11 88 131 161 297 302 325 400 490 544 ... (+2),8,18.625,8,1.0,1.0,88 131 161 302 325 544 545 596,88 131 161 302 325 544 545 596,88 131 161 302 325 544 545 596,0.6666666666666666,2.5947521600000982,ok,,13
pmed27.txt,pmed27,600,10,8307.0,8307.0,0.0,99,10,8314.0,104,450.0,11,14,14,1.0,1.0,4 11 88 110 251 257 297 302 324 389 ... (+4),4 11 88 110 251 257 297 302 324 389 ... (+4),4 11 88 110 251 257 297 302 324 389 ... (+4),12,31.583333333333332,12,1.0,1.0,4 11 88 110 251 257 297 302 324 389 ... (+2),4 11 88 110 251 257 297 302 324 389 ... (+2),4 11 88 110 251 257 297 302 324 389 ... (+2),0.8571428571428571,3.452708517999781,ok,,16
