instance,instance_id,n,p,best_known_cost,metaheuristic_best_cost,metaheuristic_gap_percent,metaheuristic_runtime_seconds,structure_extraction_runtime_seconds,perturbation_runtime_seconds,pre_reoptimization_seconds,previous_solution_perturbed_objective,previous_solution_degradation_percent,memory_size,top_solution_count,top_cost_cutoff,cooccurrence_edges,cooccurrence_total_weight,max_p_cut_fraction_cut,max_p_cut_best_facility_separation,k_core_max_level,k_core_candidate_count,k_core_candidate_fraction,k_core_best_set_recall,densest_subgraph_candidate_count,densest_subgraph_candidate_fraction,densest_subgraph_density,densest_subgraph_best_set_recall,k_core_densest_union_candidate_count,k_core_densest_union_candidate_fraction,k_core_densest_union_best_set_recall,perturbation_delta,perturbation_seed,perturbation_edge_count,perturbation_mean_multiplier,baseline__status,densest_subgraph__status,highest_k_core__status,k_core_densest_union__status,max_p_cut__status,baseline__candidate_facility_count,densest_subgraph__candidate_facility_count,highest_k_core__candidate_facility_count,k_core_densest_union__candidate_facility_count,max_p_cut__candidate_facility_count,baseline__candidate_facility_fraction,densest_subgraph__candidate_facility_fraction,highest_k_core__candidate_facility_fraction,k_core_densest_union__candidate_facility_fraction,max_p_cut__candidate_facility_fraction,baseline__objective_value,densest_subgraph__objective_value,highest_k_core__objective_value,k_core_densest_union__objective_value,max_p_cut__objective_value,baseline__improvement_over_previous_percent,densest_subgraph__improvement_over_previous_percent,highest_k_core__improvement_over_previous_percent,k_core_densest_union__improvement_over_previous_percent,max_p_cut__improvement_over_previous_percent,baseline__gap_to_unrestricted_percent,densest_subgraph__gap_to_unrestricted_percent,highest_k_core__gap_to_unrestricted_percent,k_core_densest_union__gap_to_unrestricted_percent,max_p_cut__gap_to_unrestricted_percent,baseline__model_build_seconds,densest_subgraph__model_build_seconds,highest_k_core__model_build_seconds,k_core_densest_union__model_build_seconds,max_p_cut__model_build_seconds,baseline__solve_seconds,densest_subgraph__solve_seconds,highest_k_core__solve_seconds,k_core_densest_union__solve_seconds,max_p_cut__solve_seconds,baseline__total_variant_seconds,densest_subgraph__total_variant_seconds,highest_k_core__total_variant_seconds,k_core_densest_union__total_variant_seconds,max_p_cut__total_variant_seconds,baseline__full_pipeline_seconds,densest_subgraph__full_pipeline_seconds,highest_k_core__full_pipeline_seconds,k_core_densest_union__full_pipeline_seconds,max_p_cut__full_pipeline_seconds
pmed11.txt,pmed11,300,5,7696.0,7696.0,0.0,0.7291826280006717,0.0790398200006166,0.21100172899969039,1.0192241770009787,7692,-0.05197505197505198,411,42,7740.0,64,420.0,1.0,1.0,8,10,0.03333333333333333,1.0,10,0.03333333333333333,34.4,1.0,11,0.03666666666666667,1.0,0.1,52,1772,0.9998651554782996,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,300,10,10,11,300,1.0,0.03333333333333333,0.03333333333333333,0.03666666666666667,1.0,7692.0,7692.0,7692.0,7692.0,7692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8564122300003874,0.02774580400000559,0.0271071960005429,0.028534971999761183,0.8275403540001207,7.786756792999768,0.3077344039993477,0.2932237540007918,0.3285671410003488,36.41646269600005,8.643169023000155,0.3354802079993533,0.3203309500013347,0.35710211300010997,37.244003050000174,9.662393200001134,1.354704385000332,1.3395551270023134,1.3763262900010886,38.26322722700115
pmed12.txt,pmed12,300,10,6634.0,6634.0,0.0,1.3082392269998309,0.07807641499948659,0.2021919569997408,1.5885075989990582,6629,-0.0753693096171239,250,25,6648.0,128,1125.0,1.0,1.0,13,15,0.05,1.0,11,0.03666666666666667,74.81818181818181,1.0,15,0.05,1.0,0.1,53,1758,1.000322671661437,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,300,11,15,15,300,1.0,0.03666666666666667,0.05,0.05,1.0,6629.0,6629.0,6629.0,6629.0,6629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8412816440004462,0.02947364500050753,0.03718610899977648,0.03893923200030258,0.8222825309994732,31.75609738000003,0.26692615799947816,0.48947829300050216,0.44713000200044917,26.223212160000003,32.597379024000475,0.2963998029999857,0.5266644020002786,0.48606923400075175,27.045494690999476,34.18588662299953,1.884907401999044,2.115172000999337,2.07457683299981,28.634002289998534
pmed13.txt,pmed13,300,30,4374.0,4374.0,0.0,3.7765771820004375,0.07893317500020203,0.20535431200005405,4.0608646690006935,4365,-0.205761316872428,74,8,4374.0,525,3480.0,1.0,1.0,31,33,0.11,1.0,33,0.11,105.45454545454545,1.0,33,0.11,1.0,0.1,54,1760,1.0018380597275434,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,300,33,33,33,300,1.0,0.11,0.11,0.11,1.0,4365.0,4365.0,4365.0,4365.0,4365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83481017899976,0.08268882199990912,0.07972165800038056,0.08089226199990662,0.8204660040000817,7.112223838999853,1.1580807190002815,1.1565364520001822,1.172682963000625,15.577208157000314,7.947034017999613,1.2407695410001907,1.2362581100005627,1.2535752250005316,16.397674161000396,12.007898687000306,5.301634210000884,5.297122779001256,5.314439894001225,20.45853883000109
pmed14.txt,pmed14,300,60,2968.0,2969.0,0.03369272237196765,6.677283919999354,0.08501990599961573,0.22522843800015835,6.987532263999128,2973,0.13472549680026946,125,13,2969.0,2191,23010.0,1.0,1.0,61,65,0.21666666666666667,0.9833333333333333,60,0.2,356.31666666666666,0.9666666666666667,65,0.21666666666666667,0.9833333333333333,0.1,55,1771,0.9979869866420923,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,300,60,65,65,300,1.0,0.2,0.21666666666666667,0.21666666666666667,1.0,2972.0,2972.0,2972.0,2972.0,2972.0,0.03363605785401951,0.03363605785401951,0.03363605785401951,0.03363605785401951,0.03363605785401951,0.0,0.0,0.0,0.0,0.0,0.8412049290000141,0.14719752900055028,0.15837048399953346,0.1720114959998682,0.8140750669999761,10.308041586999934,0.07564409200040245,3.2304149210003743,3.258148133000759,13.644904793000023,11.149246515999948,0.22284162100095273,3.3887854049999078,3.4301596290006273,14.45897986,18.136778779999077,7.210373885000081,10.376317668999036,10.417691892999756,21.446512123999128
pmed15.txt,pmed15,300,100,1729.0,1730.0,0.0578368999421631,8.572884007000539,0.10076369299986254,0.20659932800026581,8.880247028000667,1731,0.057803468208092484,242,25,1733.0,7107,123750.0,0.9999595959595959,1.0,107,117,0.39,1.0,103,0.3433333333333333,1098.0194174757282,0.95,117,0.39,1.0,0.1,56,1754,0.9917573924985634,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,300,103,117,117,300,1.0,0.3433333333333333,0.39,0.39,1.0,1730.0,1731.0,1731.0,1731.0,1731.0,0.057770075101097634,0.0,0.0,0.0,0.0,0.0,0.057803468208092484,0.057803468208092484,0.057803468208092484,0.057803468208092484,0.8414730539998345,0.254156150000199,0.2820140280000487,0.28642926000065927,0.8170921199998702,7.532121121999808,6.245732479999788,7.931793316000039,8.149078118000034,12.43787342899941,8.373594175999642,6.499888629999987,8.213807344000088,8.435507378000693,13.25496554899928,17.25384120400031,15.380135658000654,17.094054372000755,17.31575440600136,22.135212576999947
pmed16.txt,pmed16,400,5,8162.0,8162.0,0.0,1.9964355609999984,0.16745583299962163,0.4767405080001481,2.640631901999768,8160,-0.02450379808870375,532,54,8194.0,86,540.0,1.0,1.0,9,13,0.0325,1.0,13,0.0325,38.46153846153846,1.0,13,0.0325,1.0,0.1,57,3153,1.0055073024263952,NO_SOLUTION_FOUND,OPTIMAL,OPTIMAL,OPTIMAL,NO_SOLUTION_FOUND,400,13,13,13,400,1.0,0.0325,0.0325,0.0325,1.0,,8160.0,8160.0,8160.0,,,0.0,0.0,0.0,,,,,,,1.513607427000352,0.04501119199994719,0.04557717199986655,0.045133274999898276,1.563440513000387,430.03702564500054,8.626135128999522,8.612090497000281,8.573043729000347,429.62822506500015,431.5506330720009,8.671146320999469,8.657667669000148,8.618177004000245,431.19166557800054,434.19126497400066,11.311778222999237,11.298299570999916,11.258808906000013,433.8322974800003
pmed17.txt,pmed17,400,10,6999.0,6999.0,0.0,4.28689545799989,0.173663026000213,0.45584918199983804,4.916407665999941,6983,-0.22860408629804257,406,41,7019.0,230,1845.0,0.9989159891598915,1.0,12,16,0.04,0.9,10,0.025,117.6,0.9,16,0.04,0.9,0.1,58,3142,0.9979156583848011,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,400,10,16,16,400,1.0,0.025,0.04,0.04,1.0,6983.0,6999.0,6986.0,6986.0,6983.0,0.0,-0.22912788199914078,-0.042961477874838894,-0.042961477874838894,0.0,0.0,0.22912788199914078,0.042961477874838894,0.042961477874838894,0.0,1.473040132999813,0.042452257000149984,0.05405992600026366,0.05274617799932457,1.5589196390001234,181.86694057900058,0.020126340000388154,1.4843951650000236,1.4897488320002594,177.15078488699965,183.3399807120004,0.06257859700053814,1.5384550910002872,1.542495009999584,178.70970452599977,188.25638837800034,4.978986263000479,6.454862757000228,6.458902675999525,183.6261121919997
pmed18.txt,pmed18,400,40,4809.0,4809.0,0.0,9.47517431399956,0.1729347520004012,0.45659787800013873,10.1047069440001,4811,0.041588687876897484,124,13,4811.0,1302,10140.0,1.0,1.0,42,49,0.1225,0.975,42,0.105,214.5952380952381,0.95,49,0.1225,0.975,0.1,59,3134,0.9993815344016647,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,400,42,49,49,400,1.0,0.105,0.1225,0.1225,1.0,4811.0,4811.0,4811.0,4811.0,4811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4759204889996909,0.13872935300059908,0.15785497700017004,0.1583295350001208,1.5845215320005082,17.59980969299977,2.621346454000559,3.428789923000295,3.3549570599998333,47.56343366100009,19.07573018199946,2.760075807001158,3.586644900000465,3.513286594999954,49.1479551930006,29.18043712599956,12.864782751001258,13.691351844000565,13.617993539000054,59.2526621370007
pmed19.txt,pmed19,400,80,2845.0,2845.0,0.0,20.05088054600037,0.1848110490000181,0.47264604799966037,20.70833764300005,2845,0.0,203,21,2846.0,4608,66360.0,0.999924653405666,1.0,83,87,0.2175,0.9875,84,0.21,730.4880952380952,0.9625,87,0.2175,0.9875,0.1,60,3134,0.9996995762969406,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,400,84,87,87,400,1.0,0.21,0.2175,0.2175,1.0,2844.0,2845.0,2845.0,2845.0,2845.0,0.0351493848857645,0.0,0.0,0.0,0.0,0.0,0.035161744022503515,0.035161744022503515,0.035161744022503515,0.035161744022503515,1.4680911530003868,0.28275794900037,0.2824333899998237,0.28225008099980187,1.5654734130002907,18.337139823000143,7.5040229409996755,7.98257682700023,7.933706237000479,39.30238533699958,19.80523097600053,7.7867808900000455,8.265010217000054,8.21595631800028,40.86785874999987,40.51356861900058,28.495118533000095,28.973347860000104,28.92429396100033,61.57619639299992
pmed20.txt,pmed20,400,133,1789.0,1789.0,0.0,28.508466652000607,0.19412083300085214,0.4666939500002627,29.16928143500172,1787,-0.11179429849077697,331,34,1790.0,14386,298452.0,0.9998927800785385,0.9998860788334473,149,157,0.3925,0.9924812030075187,133,0.3325,1912.5112781954888,0.9624060150375939,157,0.3925,0.9924812030075187,0.1,61,3144,0.9997436439255587,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,400,133,157,157,400,1.0,0.3325,0.3925,0.3925,1.0,1786.0,1795.0,1786.0,1786.0,1787.0,0.05595970900951315,-0.4476776720761052,0.05595970900951315,0.05595970900951315,0.0,0.0,0.503919372900336,0.0,0.0,0.055991041433370664,1.4741263630003232,0.5368601919999492,0.6472287890001098,0.5950790340002641,1.5734362949997376,18.759556811999573,0.28211900599944784,22.510725649999586,22.506836409999778,33.369575634000284,20.233683174999896,0.818979197999397,23.157954438999695,23.101915444000042,34.94301192900002,49.40296461000162,29.98826063300112,52.32723587400142,52.271196879001764,64.11229336400174
